lp,n,pk,pm,t,fmax,favg
2501,55,0.5,0.001,80,1.8320253669755797,1.8172777133153781
2502,55,0.5,0.001,90,1.8034369820847598,1.7916303884942135
2503,55,0.5,0.001,100,1.8375952866741352,1.824677825400589
2504,55,0.5,0.001,110,1.8249155083334596,1.8119380581601394
2505,55,0.5,0.001,120,1.8077703358580552,1.7943061470973962
2506,55,0.5,0.001,130,1.8131502299763724,1.7993590296135387
2507,55,0.5,0.001,140,1.8071187612048432,1.795014217198676
2508,55,0.5,0.001,150,1.8362831927590968,1.8222432164311089
2509,55,0.5,0.005,50,1.860022637202974,1.7435513360747754
2510,55,0.5,0.005,60,1.864296280457325,1.740117276790105
2511,55,0.5,0.005,70,1.8782362726846356,1.7720031684065696
2512,55,0.5,0.005,80,1.8430747890369275,1.7432900648050358
2513,55,0.5,0.005,90,1.8482224400283649,1.746098444727009
2514,55,0.5,0.005,100,1.862021034153488,1.7584812229860671
2515,55,0.5,0.005,110,1.8659693901171384,1.7660664671830109
2516,55,0.5,0.005,120,1.8546008882429588,1.7604661733516438
2517,55,0.5,0.005,130,1.8646180505530707,1.7795424607759438
2518,55,0.5,0.005,140,1.88467453008085,1.7796422891847326
2519,55,0.5,0.005,150,1.86612518480916,1.7628012087043063
2520,55,0.5,0.01,50,1.8658551029890276,1.6303523622951699
2521,55,0.5,0.01,60,1.89388531922889,1.6798779672254651
2522,55,0.5,0.01,70,1.89218806766141,1.6746839453719908
2523,55,0.5,0.01,80,1.9297050590414644,1.6960789625077164
2524,55,0.5,0.01,90,1.8773651489651693,1.6612197303923637
2525,55,0.5,0.01,100,1.911146009186546,1.6830457746943372
2526,55,0.5,0.01,110,1.9122175838239783,1.6960809841010414
2527,55,0.5,0.01,120,1.9160929612254662,1.6926803427432768
2528,55,0.5,0.01,130,1.9320907842125647,1.717206139053708
2529,55,0.5,0.01,140,1.9441997727697788,1.7189723203653409
2530,55,0.5,0.01,150,1.9232126702984311,1.7028424279429435
2531,55,0.55,0.0001,50,1.8003273339284502,1.7986858340927645
2532,55,0.55,0.0001,60,1.7919026471779693,1.7907913441209928
2533,55,0.55,0.0001,70,1.810282525022997,1.8082924134176634
2534,55,0.55,0.0001,80,1.8320966720924614,1.8310339099633262
2535,55,0.55,0.0001,90,1.8276929507268782,1.8256210384030302
2536,55,0.55,0.0001,100,1.7934317250718084,1.7916269818260773
2537,55,0.55,0.0001,110,1.8256727608485497,1.8247376885411757
2538,55,0.55,0.0001,120,1.7957844328500525,1.794179790342423
2539,55,0.55,0.0001,130,1.831141536969152,1.8292971334798929
2540,55,0.55,0.0001,140,1.8410771352859288,1.839904813033451
2541,55,0.55,0.0001,150,1.8066520525009906,1.8058009454959438
2542,55,0.55,0.0005,50,1.783346653238026,1.774628976439032
2543,55,0.55,0.0005,60,1.7907411889464728,1.784944375016115
2544,55,0.55,0.0005,70,1.8242227506416882,1.8190654922138856
2545,55,0.55,0.0005,80,1.827348902563105,1.819104946975373
2546,55,0.55,0.0005,90,1.806110004803029,1.7980469938027392
2547,55,0.55,0.0005,100,1.814300840434436,1.8077711973023656
2548,55,0.55,0.0005,110,1.836018712235313,1.828668779131317
2549,55,0.55,0.0005,120,1.833210026729168,1.828738878390853
2550,55,0.55,0.0005,130,1.838242198685346,1.8288251928275379
2551,55,0.55,0.0005,140,1.8323985515673293,1.8263979909892203
2552,55,0.55,0.0005,150,1.8270177067287754,1.8213037205432567
2553,55,0.55,0.001,50,1.815949169809599,1.795595608310932
2554,55,0.55,0.001,60,1.787422119419553,1.7710610773210829
2555,55,0.55,0.001,70,1.823550686871969,1.8111981622577564
2556,55,0.55,0.001,80,1.8071945929745485,1.796163877358274
2557,55,0.55,0.001,90,1.8065470599919047,1.7924395180752375
2558,55,0.55,0.001,100,1.8209080431797031,1.8058942274431826
2559,55,0.55,0.001,110,1.8327996767165562,1.8182010991575106
2560,55,0.55,0.001,120,1.8257188251063072,1.8133496140296774
2561,55,0.55,0.001,130,1.8282312709449908,1.8159126141207247
2562,55,0.55,0.001,140,1.836727846774614,1.8257711870669697
2563,55,0.55,0.001,150,1.8411947092654781,1.8261936430201635
2564,55,0.55,0.005,50,1.8670990123828588,1.7463523842093278
2565,55,0.55,0.005,60,1.861541861940361,1.760590868972864
2566,55,0.55,0.005,70,1.8667744540828932,1.7630849736046939
2567,55,0.55,0.005,80,1.8735014565080998,1.7712276773204516
2568,55,0.55,0.005,90,1.8666349310532433,1.7605331590366569
2569,55,0.55,0.005,100,1.8491219345851457,1.7427905449892167
2570,55,0.55,0.005,110,1.8649056061519218,1.7688648531046254
2571,55,0.55,0.005,120,1.8788157275898671,1.7867086994887098
2572,55,0.55,0.005,130,1.8696888444081892,1.7807649359800508
2573,55,0.55,0.005,140,1.8835762560160967,1.7856635346109555
2574,55,0.55,0.005,150,1.9040902999194085,1.7978644979290173
2575,55,0.55,0.01,50,1.8924124511923999,1.6539573878281653
2576,55,0.55,0.01,60,1.88868660002142,1.6580218137002776
2577,55,0.55,0.01,70,1.9082317644130118,1.6799857801282432
2578,55,0.55,0.01,80,1.8917492019077324,1.6639775209339425
2579,55,0.55,0.01,90,1.915242710912882,1.6951899558498007
2580,55,0.55,0.01,100,1.906583763231045,1.6763249459192027
2581,55,0.55,0.01,110,1.9006341686162933,1.6887862802728721
2582,55,0.55,0.01,120,1.9084579887700641,1.6868689467061966
2583,55,0.55,0.01,130,1.921067635868884,1.6813351663625034
2584,55,0.55,0.01,140,1.9323891739698609,1.7128348042314407
2585,55,0.55,0.01,150,1.9327020358360034,1.7083563991472723
2586,55,0.6,0.0001,50,1.81286855608921,1.80995822507378
2587,55,0.6,0.0001,60,1.835960149736155,1.8352424634780184
2588,55,0.6,0.0001,70,1.7894879956182725,1.787421986443449
2589,55,0.6,0.0001,80,1.8174812689628104,1.8152187689879449
2590,55,0.6,0.0001,90,1.852942788215243,1.8522001620296031
2591,55,0.6,0.0001,100,1.8074138076068436,1.8067950868946732
2592,55,0.6,0.0001,110,1.7994706460098255,1.7971866364687543
2593,55,0.6,0.0001,120,1.830797950302498,1.8301537221236155
2594,55,0.6,0.0001,130,1.8233928966525996,1.823341676516444
2595,55,0.6,0.0001,140,1.8441670555170675,1.8433043610490747
2596,55,0.6,0.0001,150,1.8387744449004342,1.8375421859349148
2597,55,0.6,0.0005,50,1.8291439171839972,1.814269274347485
2598,55,0.6,0.0005,60,1.8349910944633363,1.828522199291351
2599,55,0.6,0.0005,70,1.8354306181708508,1.8282560782618085
2600,55,0.6,0.0005,80,1.842864996978956,1.8314989807129711
2601,55,0.6,0.0005,90,1.8344013011442593,1.8289133268517705
2602,55,0.6,0.0005,100,1.8025170592878026,1.7965512584825216
2603,55,0.6,0.0005,110,1.8346862966833966,1.8288539476914991
2604,55,0.6,0.0005,120,1.8302561137159261,1.8247930102889154
2605,55,0.6,0.0005,130,1.8272314123473625,1.8199735728210382
2606,55,0.6,0.0005,140,1.825171757891855,1.8199542638288448
2607,55,0.6,0.0005,150,1.8414589512477042,1.833728985049123
2608,55,0.6,0.001,50,1.829644575624569,1.8153020215226663
2609,55,0.6,0.001,60,1.821978568557032,1.807894319821119
2610,55,0.6,0.001,70,1.8520269826514275,1.8368738717656605
2611,55,0.6,0.001,80,1.828958107176696,1.8141399885207468
2612,55,0.6,0.001,90,1.8197417046741122,1.804695123178264
2613,55,0.6,0.001,100,1.8302128226649679,1.8143720591854142
2614,55,0.6,0.001,110,1.8255544549620635,1.8153462068496018
2615,55,0.6,0.001,120,1.8239561838243412,1.8109961903994702
2616,55,0.6,0.001,130,1.8330589909763233,1.8156866572787436
2617,55,0.6,0.001,140,1.839851768079547,1.824612173517935
2618,55,0.6,0.001,150,1.8234321282813533,1.8105083839201643
2619,55,0.6,0.005,50,1.8551250985316556,1.7303300655100309
2620,55,0.6,0.005,60,1.8417251747390706,1.7438373825921074
2621,55,0.6,0.005,70,1.868034158980706,1.7570253571968442
2622,55,0.6,0.005,80,1.8450760324261237,1.751561622684032
2623,55,0.6,0.005,90,1.8770106891535931,1.7714773175815026
2624,55,0.6,0.005,100,1.8428128101888455,1.7368198814789961
2625,55,0.6,0.005,110,1.8809925723031051,1.778610394513975
2626,55,0.6,0.005,120,1.855695076680542,1.7609366722599609
2627,55,0.6,0.005,130,1.8881895842051906,1.7909920871202518
2628,55,0.6,0.005,140,1.8851062871073165,1.7793262187323442
2629,55,0.6,0.005,150,1.8843420627669656,1.787442458734603
2630,55,0.6,0.01,50,1.903587461334074,1.6655907832884913
2631,55,0.6,0.01,60,1.9011692960923268,1.6524805543919563
2632,55,0.6,0.01,70,1.8862786801197373,1.6553263175705177
2633,55,0.6,0.01,80,1.9081700361404248,1.6706555638994425
2634,55,0.6,0.01,90,1.9139735201462986,1.6947570313672022
2635,55,0.6,0.01,100,1.9197978834551632,1.6977394369714864
2636,55,0.6,0.01,110,1.9385228896475584,1.720025498666184
2637,55,0.6,0.01,120,1.9222568204431532,1.6969311906956455
2638,55,0.6,0.01,130,1.9131498055803744,1.7093224745496611
2639,55,0.6,0.01,140,1.9203408168881766,1.7017157441843898
2640,55,0.6,0.01,150,1.9266827448322235,1.6998611068868472
2641,55,0.65,0.0001,50,1.8138725322267495,1.8126979638610712
2642,55,0.65,0.0001,60,1.836723746988547,1.834212519382783
2643,55,0.65,0.0001,70,1.830017721558495,1.8241135213032305
2644,55,0.65,0.0001,80,1.8339754943287698,1.8330230014686077
2645,55,0.65,0.0001,90,1.836935622241565,1.835540630845537
2646,55,0.65,0.0001,100,1.8139245933478634,1.8127637824900416
2647,55,0.65,0.0001,110,1.8379919505542786,1.8371726019719157
2648,55,0.65,0.0001,120,1.8261708349010246,1.824439240469916
2649,55,0.65,0.0001,130,1.8150736793447455,1.8139576604257905
2650,55,0.65,0.0001,140,1.839016973856713,1.8378874072280664
2651,55,0.65,0.0001,150,1.8283158258274685,1.8266572296248609
2652,55,0.65,0.0005,50,1.8521312303901436,1.8421568169321305
2653,55,0.65,0.0005,60,1.8308647455094982,1.8227122791580908
2654,55,0.65,0.0005,70,1.8359931328741057,1.826695756254609
2655,55,0.65,0.0005,80,1.8184970206133533,1.8135263725326962
2656,55,0.65,0.0005,90,1.8212286325283356,1.8157670919484232
2657,55,0.65,0.0005,100,1.8433670108889368,1.8366795580120947
2658,55,0.65,0.0005,110,1.8290843186342898,1.8242328522237141
2659,55,0.65,0.0005,120,1.8407009627323672,1.8344873260406984
2660,55,0.65,0.0005,130,1.8220501357020862,1.814966351546678
2661,55,0.65,0.0005,140,1.8296064365808862,1.822394224167237
2662,55,0.65,0.0005,150,1.8414742540238607,1.828700704603879
2663,55,0.65,0.001,50,1.8466510641223193,1.8281162879936763
2664,55,0.65,0.001,60,1.8247362433763359,1.8133843542344061
2665,55,0.65,0.001,70,1.8573081743068516,1.843814672966756
2666,55,0.65,0.001,80,1.8342306255187482,1.8184778483575008
2667,55,0.65,0.001,90,1.8524195670216808,1.8383525279155741
2668,55,0.65,0.001,100,1.84492826009326,1.8334185935826863
2669,55,0.65,0.001,110,1.8315088409336164,1.8174637092957022
2670,55,0.65,0.001,120,1.8525423636631506,1.8336444561644012
2671,55,0.65,0.001,130,1.8500178334528334,1.8314765721084627
2672,55,0.65,0.001,140,1.8624963281616127,1.850678950112097
2673,55,0.65,0.001,150,1.8532912899660974,1.8392283733081216
2674,55,0.65,0.005,50,1.8632299439888806,1.744182139286438
2675,55,0.65,0.005,60,1.8715749720036072,1.7600422864657548
2676,55,0.65,0.005,70,1.857070616549798,1.751287828563349
2677,55,0.65,0.005,80,1.8938363751361103,1.7791982312463137
2678,55,0.65,0.005,90,1.8944788930362424,1.7911396420660506
2679,55,0.65,0.005,100,1.8734522978004058,1.7794358342366823
2680,55,0.65,0.005,110,1.8770930199381812,1.7759346020390208
2681,55,0.65,0.005,120,1.8851328567252532,1.7877935491119785
2682,55,0.65,0.005,130,1.8596126210769612,1.7643450239802192
2683,55,0.65,0.005,140,1.8689208548648415,1.7706579139371295
2684,55,0.65,0.005,150,1.8898015660830265,1.7965184668076404
2685,55,0.65,0.01,50,1.875229899723597,1.6209407297065217
2686,55,0.65,0.01,60,1.8977739477764002,1.66757853027526
2687,55,0.65,0.01,70,1.872467779406135,1.633879017534805
2688,55,0.65,0.01,80,1.903495249326724,1.6750904639446902
2689,55,0.65,0.01,90,1.9008988174878716,1.6712087579894068
2690,55,0.65,0.01,100,1.9100138964146165,1.6998685114216112
2691,55,0.65,0.01,110,1.905854344175691,1.68155962737226
2692,55,0.65,0.01,120,1.9203973373084056,1.678459042833807
2693,55,0.65,0.01,130,1.9405057264551224,1.7216001827836245
2694,55,0.65,0.01,140,1.9120576847936166,1.6961077948340486
2695,55,0.65,0.01,150,1.9364467308305842,1.7234128509422493
2696,55,0.7,0.0001,50,1.8479974063509237,1.8459020964648538
2697,55,0.7,0.0001,60,1.8172067007893549,1.812363148094758
